"","team","expected_wins","wins","win_diff"
"1","Air Force",5.0517566,5,-0.0517566
"2","Akron",3.3101925,4,0.6898075
"3","Alabama",9.1547431,9,-0.154743099999999
"4","App State",4.9757383,5,0.0242617000000003
"5","Arizona",4.0981843,4,-0.0981842999999998
"6","Arizona State",9.1828219,11,1.8171781
"7","Arkansas",7.4360983,6,-1.4360983
"8","Arkansas State",6.5562909,7,0.4437091
"9","Army",10.9285149,11,0.0714851000000003
"10","Auburn",5.4483719,5,-0.4483719
"11","BYU",9.9336119,10,0.0663880999999993
"12","Ball State",4.0598654,3,-1.0598654
"13","Baylor",9.0544307,8,-1.0544307
"14","Boise State",10.9487646,12,1.0512354
"15","Boston College",6.369656,7,0.630344
"16","Bowling Green",7.763031,7,-0.763031
"17","Buffalo",6.7780119,8,1.2219881
"18","California",6.9356686,6,-0.9356686
"19","Central Michigan",3.3456802,4,0.6543198
"20","Charlotte",3.5407514,5,1.4592486
"21","Cincinnati",5.7294549,5,-0.729454899999999
"22","Clemson",8.7528972,10,1.2471028
"23","Coastal Carolina",5.9834497,6,0.0165503000000005
"24","Colorado",8.2146229,9,0.7853771
"25","Colorado State",8.2173683,8,-0.2173683
"26","Duke",7.6030891,9,1.3969109
"27","East Carolina",6.2536112,7,0.7463888
"28","Eastern Michigan",4.7412937,5,0.2587063
"29","Florida",7.9912957,7,-0.9912957
"30","Florida Atlantic",3.9724425,3,-0.9724425
"31","Florida International",5.1392517,4,-1.1392517
"32","Florida State",2.0332095,2,-0.0332094999999999
"33","Fresno State",7.6025511,6,-1.6025511
"34","Georgia",8.9883599,11,2.0116401
"35","Georgia Southern",6.5515932,8,1.4484068
"36","Georgia State",3.0823443,3,-0.0823442999999999
"37","Georgia Tech",7.0825732,7,-0.0825731999999997
"38","Hawai'i",4.6914229,5,0.3085771
"39","Houston",3.3542061,4,0.6457939
"40","Illinois",9.4202463,9,-0.420246300000001
"41","Indiana",10.8352345,11,0.1647655
"42","Iowa",8.6511698,8,-0.6511698
"43","Iowa State",8.7893551,10,1.2106449
"44","Jacksonville State",7.8839726,9,1.1160274
"45","James Madison",9.8316539,8,-1.8316539
"46","Kansas",6.77081,5,-1.77081
"47","Kansas State",8.4658761,8,-0.465876099999999
"48","Kennesaw State",2.2035338,2,-0.2035338
"49","Kent State",0.0501883,0,-0.0501883
"50","Kentucky",3.0046085,4,0.9953915
"51","LSU",7.746531,8,0.253469
"52","Liberty",6.8770117,8,1.1229883
"53","Louisiana",9.7976265,10,0.2023735
"54","Louisiana Tech",7.3779233,5,-2.3779233
"55","Louisville",9.3644305,8,-1.3644305
"56","Marshall",9.4214642,10,0.578535799999999
"57","Maryland",3.3996305,4,0.6003695
"58","Massachusetts",3.0461546,2,-1.0461546
"59","Memphis",10.756878,10,-0.756878
"60","Miami",9.2277918,10,0.7722082
"61","Miami (OH)",8.2093046,8,-0.209304599999999
"62","Michigan",7.2297789,7,-0.2297789
"63","Michigan State",5.2057909,5,-0.2057909
"64","Middle Tennessee",2.2105798,3,0.7894202
"65","Minnesota",6.6028139,7,0.3971861
"66","Mississippi State",2.0222306,2,-0.0222305999999999
"67","Missouri",8.8318921,9,0.168107899999999
"68","NC State",6.8771713,6,-0.8771713
"69","Navy",8.960978,9,0.0390219999999992
"70","Nebraska",7.8859587,6,-1.8859587
"71","Nevada",4.2516598,3,-1.2516598
"72","New Mexico",4.1823744,5,0.8176256
"73","New Mexico State",3.4602259,3,-0.4602259
"74","North Carolina",6.1504777,6,-0.1504777
"75","North Texas",5.0869397,6,0.9130603
"76","Northern Illinois",7.2689871,7,-0.2689871
"77","Northwestern",4.4902828,4,-0.4902828
"78","Notre Dame",12.1483198,11,-1.1483198
"79","Ohio",9.8166209,10,0.1833791
"80","Ohio State",12.1609719,10,-2.1609719
"81","Oklahoma",5.7549939,6,0.2450061
"82","Oklahoma State",3.2539166,3,-0.2539166
"83","Old Dominion",4.3390744,5,0.6609256
"84","Ole Miss",10.2952162,9,-1.2952162
"85","Oregon",11.342874,13,1.657126
"86","Oregon State",4.4430212,5,0.5569788
"87","Penn State",12.164435,11,-1.164435
"88","Pittsburgh",6.5007492,7,0.4992508
"89","Purdue",1.3562117,1,-0.3562117
"90","Rice",4.1379933,4,-0.1379933
"91","Rutgers",6.9782686,7,0.0217314000000002
"92","SMU",10.1238743,11,0.876125699999999
"93","Sam Houston",8.2564846,9,0.7435154
"94","San Diego State",3.605263,3,-0.605263
"95","San José State",6.4480613,7,0.5519387
"96","South Alabama",7.5445364,6,-1.5445364
"97","South Carolina",8.9395328,9,0.0604671999999997
"98","South Florida",6.1392622,6,-0.1392622
"99","Southern Miss",1.007234,1,-0.00723399999999996
"100","Stanford",2.6569585,3,0.3430415
"101","Syracuse",8.4189641,9,0.5810359
"102","TCU",9.1932824,8,-1.1932824
"103","Temple",3.5787865,3,-0.5787865
"104","Tennessee",9.8845051,10,0.1154949
"105","Texas",12.7975697,11,-1.7975697
"106","Texas A&M",9.6597963,8,-1.6597963
"107","Texas State",7.5124954,7,-0.5124954
"108","Texas Tech",7.4066177,8,0.5933823
"109","Toledo",8.2468708,7,-1.2468708
"110","Troy",4.8631822,4,-0.8631822
"111","Tulane",9.0613369,9,-0.0613369000000006
"112","Tulsa",1.5309305,3,1.4690695
"113","UAB",3.5011602,3,-0.5011602
"114","UCF",4.1471707,4,-0.1471707
"115","UCLA",5.3765677,5,-0.3765677
"116","UConn",8.6634699,8,-0.663469900000001
"117","UL Monroe",4.4420191,5,0.5579809
"118","UNLV",11.2991293,10,-1.2991293
"119","USC",7.8657618,6,-1.8657618
"120","UTEP",3.4574464,3,-0.4574464
"121","UTSA",8.8650371,6,-2.8650371
"122","Utah",7.1589572,5,-2.1589572
"123","Utah State",3.5073558,4,0.4926442
"124","Vanderbilt",6.4909553,6,-0.4909553
"125","Virginia",4.7309819,5,0.2690181
"126","Virginia Tech",8.5065932,6,-2.5065932
"127","Wake Forest",4.8067671,4,-0.8067671
"128","Washington",6.3326409,6,-0.3326409
"129","Washington State",9.3434385,8,-1.3434385
"130","West Virginia",6.1071659,6,-0.1071659
"131","Western Kentucky",7.5395601,8,0.4604399
"132","Western Michigan",6.2005681,6,-0.2005681
"133","Wisconsin",5.2907456,5,-0.2907456
"134","Wyoming",3.0660966,3,-0.0660966000000003
